fr,tq,tx,dq,dx,x
18185.0,109.68944471842477,109.84897789698391,6.826467989898951e-05,6.702231107596387e-05,-249.67184277724095
18190.0,109.81147173081843,109.97098066754425,6.731234296893702e-05,6.608749044974923e-05,-243.3732709613833
18195.0,109.93359420841404,110.09307885276846,6.637256226783393e-05,6.516499276738566e-05,-243.60548981365355
18200.0,110.05581126188508,110.21527156355563,6.54451897063993e-05,6.425467271913281e-05,-244.63298039046822
18205.0,110.17812200474955,110.33755791368557,6.453007855532294e-05,6.335638632911234e-05,-251.20493905058106
18210.0,110.30052555387668,110.45993702032538,6.362708343757447e-05,6.246999094778321e-05,-253.56671234239712
18215.0,110.42302102999267,110.58240800453518,6.27360603208266e-05,6.15953452445285e-05,-244.60078553495964
18220.0,110.54560755818612,110.7049699917733,6.185686650997991e-05,6.0732309200341296e-05,-242.40259103707587
18225.0,110.66828426841104,110.82762211239921,6.0989360639793394e-05,5.988074410061394e-05,-243.48388392824114
18230.0,110.79105029598864,110.95036350217508,6.0133402667605716e-05,5.904051252801568e-05,-252.59728346785442
18235.0,110.91390478210626,111.07319330276462,5.9288853866147634e-05,5.821147835545941e-05,-257.6912962145911
18240.0,111.03684687431513,111.19611066223048,5.845557681642917e-05,5.739350673914123e-05,-252.4839531556696
18245.0,111.15987572702474,111.31911473552847,5.763343540070467e-05,5.658646411165587e-05,-247.90546822071457
18250.0,111.28299050199315,111.44220468499758,5.6822294795515614e-05,5.579021817518809e-05,-248.6523370149314
18255.0,111.40619036881621,111.56537968084893,5.602202146478111e-05,5.5004637894750324e-05,-252.142351466845
18260.0,111.52947450541134,111.68863890164924,5.523248315295973e-05,5.4229593491489805e-05,-255.73929083368284
18265.0,111.65284209849808,111.81198153480105,5.445354887825869e-05,5.3464956436041865e-05,-252.7418921630744
18270.0,111.77629234407391,111.93540677701817,5.368508892589453e-05,5.2710599441933166e-05,-243.93947521429703
18275.0,111.89982444788623,112.05891383479731,5.292697484139156e-05,5.196639645902157e-05,-243.21059590140283
18280.0,112.02343762589918,112.18250192488448,5.2179079423920894e-05,5.123222266697554e-05,-245.24754158022517
18285.0,112.14713110475401,112.306170274735,5.1441276719680133e-05,5.050795446879282e-05,-249.17125171545706
18290.0,112.2709041222263,112.42991812297021,5.071344201528842e-05,4.9793469484333865e-05,-251.59376709750882
18295.0,112.39475592767535,112.55374471982643,4.9995451831218204e-05,4.9088646543890896e-05,-256.91050393562386
18300.0,112.5186857824887,112.67764932759898,4.928718391524074e-05,4.839336568176997e-05,-243.76880934248152
18305.0,112.64269296051849,112.80163122107807,4.8588517235898436e-05,4.7707508129899e-05,-246.51607804765325
18310.0,112.76677674851355,112.92568968798034,4.789933197597572e-05,4.7030956311434e-05,-245.55738043870917
18315.0,112.89093644654282,113.04982402937172,4.721950952599007e-05,4.636359383438456e-05,-251.98323001798968
18320.0,113.01517136841073,113.17403356008226,4.6548932477691934e-05,4.570530548524789e-05,-253.49804267883326
18325.0,113.13948084206717,113.2983176091155,4.5887484617555595e-05,4.5055977222633354e-05,-251.60268354278236
18330.0,113.26386421000797,113.42267552004834,4.5235050920278766e-05,4.44154961708954e-05,-243.48419573435473
18335.0,113.38832082966682,113.54710665142237,4.4591517542280435e-05,4.378375061376424e-05,-246.37550888255612
18340.0,113.51285007379995,113.6716103771278,4.395677181518629e-05,4.316062998796417e-05,-251.81324831261685
18345.0,113.6374513308612,113.796186086778,4.3330702239309603e-05,4.254602487682687e-05,-251.45810945002148
18350.0,113.76212400536869,113.92083318607534,4.271319847711779e-05,4.1939827003890485e-05,-244.82772318267308
18355.0,113.88686751826049,114.04555109716625,4.2104151346694273e-05,4.13419292264936e-05,-241.5647090826992
18360.0,114.0116813072431,114.17033925898899,4.1503452815171365e-05,4.07522255293406e-05,-242.8360639549112
18365.0,114.13656482712881,114.29519712761012,4.091099599215368e-05,4.017061101805724e-05,-247.06335365061295
18370.0,114.26151755016214,114.42012417655039,4.0326675123123564e-05,3.959698191272841e-05,-245.07429008507006
18375.0,114.3865389663376,114.54511989710154,3.975038558281857e-05,3.903123554140802e-05,-248.00906116564295
18380.0,114.511628583706,114.67018379863197,3.9182023868588765e-05,3.847327033360886e-05,-243.96516111861786
18385.0,114.6367859286704,114.79531540888176,3.862148759372791e-05,3.792298581376648e-05,-240.33813587154316
18390.0,114.76201054626958,114.92051427424536,3.8068675480784725e-05,3.7380282594683295e-05,-238.9993973884732
18395.0,114.8873020004527,115.04577996004551,3.752348735483484e-05,3.68450623709337e-05,-245.5456355900031
18400.0,115.01265987434103,115.17111205079391,3.698582413673243e-05,3.6317227912249096e-05,-245.60584762637166
18405.0,115.13808377047746,115.29651015044011,3.645558783633258e-05,3.5796683056873826e-05,-241.38654090979776
18410.0,115.26357331106563,115.42197388260956,3.5932681545678246e-05,3.528333270488616e-05,-241.27038670201836
18415.0,115.3891281381969,115.54750289082989,3.541700943215512e-05,3.477708281148741e-05,-238.8042307538425
18420.0,115.51474791406369,115.67309683874312,3.490847673162141e-05,3.427784038026635e-05,-249.17899925400127
18425.0,115.64043232116208,115.79875541030759,3.440698974149718e-05,3.3785513456423506e-05,-241.85893042964858
18430.0,115.76618106248146,115.92447830998651,3.391245581382312e-05,3.330001111996534e-05,-232.1648979688141
18435.0,115.89199386168181,116.05026526292448,3.342478334828378e-05,3.282124347886323e-05,-230.05925245745118
18440.0,116.01787046325713,116.17611601510981,3.2943881785202045e-05,3.2349121662184055e-05,-225.6227161836075
18445.0,116.14381063268732,116.30203033352564,3.246966159849314e-05,3.188355781318083e-05,-222.7127444806314
18450.0,116.26981415657741,116.42800800628808,3.2002034288584284e-05,3.142446508234936e-05,-226.88670750793608
18455.0,116.39588084278175,116.55404884276955,3.154091237530675e-05,3.0971757620457613e-05,-222.23379828329962
18460.0,116.52201052051743,116.6801526737112,3.108620939074509e-05,3.0525350571532975e-05,-229.45992890200984
18465.0,116.64820304046268,116.80631935132037,3.0637839872058976e-05,3.0085160065822173e-05,-230.18590929067244
18470.0,116.77445827484382,116.93254874935658,3.019571935426468e-05,2.9651103212711657e-05,-235.86223625940056
18475.0,116.90077611750681,117.05884076320206,2.9759764362990722e-05,2.9223098093622246e-05,-241.53054151949584
18480.0,117.02715648397705,117.18519530992073,2.932989240719418e-05,2.8801063754865097e-05,-233.47573873621008
18485.0,117.15359931150596,117.31161232830364,2.890602197184504e-05,2.8384920200466086e-05,-236.74466484950443
18490.0,117.28010455910243,117.43809177889963,2.8488072510583637e-05,2.79745883849636e-05,-233.08266746618563
18495.0,117.40667220755309,117.56463364403449,2.8075964438339986e-05,2.7569990206168776e-05,-242.5624559832557
18500.0,117.53330225942751,117.69123792781528,2.7669619123927766e-05,2.71710484979007e-05,-242.89605699363995
18505.0,117.6599947390713,117.8179046561225,2.7268958882604842e-05,2.6777687022688608e-05,-239.24945292375185
